"kCluster";"avgMae";"avgMse";"min";"max";"numClustersWithOneElement"
2;0.9110866143;0.85205906;247;1434;0
4;0.937633005;0.8886728109;325;606;0
6;0.9262600384;0.867566483;1;646;1
8;0.9313260946;0.8779767075;121;367;0
10;0.9227645432;0.8619706736;71;354;0
12;0.9337008199;0.8803720815;49;511;0
14;0.9348333499;0.8806785834;4;411;0
16;0.9199843703;0.856599628;37;260;0
18;0.9311263319;0.8786040743;1;256;1
20;0.925101028;0.8664850003;1;299;2
22;0.9343483236;0.8804833594;1;269;1
24;0.9229522759;0.8618743307;12;178;0
26;0.92013666;0.8632049367;1;289;1
28;0.9067120924;0.8475551675;1;221;1
30;0.9162051636;0.8521833674;1;130;1
32;0.9265637891;0.8694360013;1;254;2
34;0.9242680653;0.8671099656;3;231;0
36;0.9119864749;0.8514028549;7;220;0
38;0.9116662551;0.8511156042;1;136;1
40;0.9136499256;0.8532462366;1;136;1
42;0.9181138471;0.8606755099;1;151;2
44;0.9085922383;0.8475161376;1;145;1
46;0.9063986997;0.8459604457;1;170;1
48;0.9084662301;0.8483153173;1;141;4
50;0.9057396758;0.8421623707;1;135;4
52;0.9109578629;0.8464006725;1;111;3
54;0.9059242559;0.8420671472;1;106;1
56;0.9010058752;0.835723814;1;111;3
58;0.9003636118;0.8344864444;1;156;2
60;0.9040587698;0.8396217546;1;97;4
62;0.9140045901;0.8505005661;1;117;6
64;0.8953714812;0.8322772459;1;127;4
66;0.9032510974;0.8384309262;1;130;4
68;0.9015414928;0.8339451358;1;112;3
70;0.8992398127;0.8342077984;1;85;2
72;0.8932930584;0.8276179476;1;105;4
74;0.900984175;0.8355961736;1;108;4
76;0.9014499143;0.8368894231;1;90;1
78;0.897153615;0.8318944595;1;81;3
80;0.8929724645;0.8285323301;1;127;3
82;0.8949004121;0.82736261;1;119;6
84;0.8952383242;0.8282137285;1;77;3
86;0.8880370447;0.8200462446;1;90;6
88;0.8969329498;0.8290837459;1;89;5
90;0.8969419297;0.8289640667;1;80;8
92;0.893126495;0.8245979745;1;90;4
94;0.8939846124;0.8268133213;1;77;6
96;0.8841595198;0.815253354;1;78;5
98;0.8875180297;0.8191758531;1;106;11
100;0.8921195853;0.8234546682;1;76;4
102;0.8792405742;0.8105960158;1;86;4
104;0.8847092431;0.8155490087;1;111;6
106;0.891180103;0.8234886365;1;103;6
108;0.8781270438;0.8082476013;1;82;4
110;0.8844491738;0.8153609003;1;98;4
112;0.8889076514;0.8186125054;1;74;8
114;0.8906689493;0.8197574273;1;88;9
116;0.8853440176;0.8178322963;1;106;5
118;0.8837896213;0.8154048691;1;86;6
120;0.8791691653;0.8068357703;1;105;12
122;0.8843917377;0.8136357542;1;83;8
124;0.897192561;0.8265570802;1;98;7
126;0.8783805882;0.8103291268;1;80;6
128;0.8854976222;0.8161097314;1;96;13
130;0.8787794245;0.8091368266;1;80;5
132;0.8801842615;0.8083161512;1;71;10
134;0.8817104869;0.8115316324;1;75;6
136;0.8839317601;0.8132470451;1;92;10
138;0.8810323256;0.810703208;1;71;12
140;0.8795579392;0.8057450286;1;82;14
142;0.8788342584;0.8054187521;1;83;7
144;0.8843563676;0.8092779705;1;72;11
146;0.884052956;0.8117189374;1;72;10
148;0.8828587719;0.8121185446;1;86;12
150;0.8890094072;0.8171038558;1;77;19
152;0.8754958643;0.8024809466;1;69;10
154;0.8754303999;0.8040512813;1;80;9
156;0.8712338168;0.7996583704;1;63;14
158;0.8816652355;0.8088991461;1;67;16
160;0.8820718765;0.8103613163;1;71;13
162;0.8752982164;0.8026693384;1;64;13
164;0.8801204284;0.8043766985;1;103;11
166;0.8830603079;0.8075838581;1;74;11
168;0.8803452395;0.8067887544;1;76;14
170;0.877479336;0.8024903014;1;80;10
172;0.8817679887;0.8081033871;1;79;13
174;0.8839964845;0.8092572362;1;80;19
176;0.880318946;0.8058952697;1;72;13
178;0.8808118279;0.8050273923;1;72;13
180;0.8754471307;0.8008646608;1;73;17
182;0.8682524731;0.7942329912;1;72;15
184;0.8749957773;0.8008801819;1;76;17
186;0.872045805;0.7959206269;1;69;28
188;0.8747776446;0.7992965959;1;69;23
190;0.8829076471;0.8069315124;1;65;15
192;0.8776969924;0.8004678052;1;75;18
194;0.8731167105;0.7964270269;1;80;19
196;0.8749645803;0.7992991647;1;70;21
198;0.8772443535;0.8006679695;1;78;20
200;0.8761213466;0.7985852222;1;79;15
