1#1;0.0#2;0.9362319590633941#3;0.9814783053355841#4;0.969091458287391#5;0.9801737103570464#6;0.9816444225446412#7;0.9356436519789784#8;0.8953311456021922#9;0.9607541245860889#10;1.0#11;0.9429641302695039#12;0.9061648709355559#13;1.0#14;1.0#15;0.9799639025074784#16;0.9676238045880912#17;0.9740412934174417#18;0.9140750274810693#19;0.9677232708612851#20;0.985756373042428#21;0.9313197180256555#22;0.9518107263409065#23;0.9786129891993028#24;0.9861947438906237#25;0.9825551909336987#26;0.9757178534410684#27;0.9684873254168372#28;0.981806148846526#29;0.9005116709286749#30;0.9708796186835823#31;0.9692852441583024#32;0.9760885950070595#33;0.9568021010947054#34;0.9466937630399533#35;0.862639436051311#36;1.0#37;1.0#38;1.0#39;0.9367895539618152#40;1.0#41;0.9439227845907956#42;0.9057714305136909#43;0.9450557744205244#44;1.0#45;0.9585842316718709#46;0.9516243067911911#47;0.9420837009649241#48;1.0#49;1.0#50;0.8735493513286374#
2#1;0.9362319590633941#2;0.0#3;0.9248825371245799#4;0.8955382108793163#5;0.9195915598871653#6;0.9379635416268168#7;0.8984974116509952#8;0.9646250027022566#9;0.9602081418192032#10;1.0#11;0.8766307322758736#12;0.8459629200377907#13;0.9767880827278685#14;0.9463943732581103#15;1.0#16;1.0#17;0.9034939191277555#18;1.0#19;0.9418208743435106#20;0.9807442904373767#21;0.9071523309114741#22;0.9267104865267487#23;0.9204900064113966#24;0.9066845815073576#25;0.9764166684681711#26;1.0#27;0.8189439127920204#28;0.9508081032056718#29;0.7730371092905584#30;0.9507908338013152#31;0.95847726007313#32;0.9838372954041191#33;0.8150714731020954#34;0.9495553629784331#35;0.953576165455737#36;0.9649068796828202#37;1.0#38;0.9397524766871223#39;0.8077305389851388#40;1.0#41;0.9873650326070182#42;0.968153512235076#43;0.9257218647291793#44;0.9688579450548476#45;1.0#46;0.94277652992055#47;0.9706389890242648#48;1.0#49;0.9666481327017465#50;0.8632428680097284#
3#1;0.9814783053355841#2;0.9248825371245799#3;0.0#4;0.8786345427098587#5;0.9805375263959619#6;0.9459437522382664#7;0.9262953698500342#8;0.9828753063687314#9;0.9807371467867645#10;0.9639625014921777#11;0.9440107489044146#12;0.9210457966048278#13;0.9662900068768379#14;0.9610750527919238#15;1.0#16;0.9364358273836272#17;0.9108117414984155#18;0.8875356885768934#19;0.9155081459752356#20;0.8881419696050754#21;1.0#22;0.9408687604010917#23;0.9895027223783704#24;0.9728961457272752#25;0.9828753063687314#26;0.9523268705377204#27;0.9690655887555127#28;0.9464200280223181#29;0.938960812470127#30;0.8427769065194445#31;1.0#32;0.9295821209780469#33;0.8869194411615648#34;0.8639470498026844#35;0.9775266712512253#36;0.9745176404281187#37;0.9626021203996618#38;0.9562521360740193#39;0.8862407082010958#40;1.0#41;0.9816506039145606#42;0.94218783874214#43;0.9730320055014703#44;0.9547732983133355#45;1.0#46;0.9168960168069479#47;0.9431464756385038#48;0.9610750527919238#49;1.0#50;0.975173948769032#
4#1;0.969091458287391#2;0.8955382108793163#3;0.8786345427098587#4;0.0#5;0.9350430197538369#6;0.9248269025844671#7;0.9121453950285138#8;0.9714227387392035#9;0.9517819471031704#10;1.0#11;0.9159098818509651#12;0.8902026635412781#13;1.0#14;0.9350430197538369#15;1.0#16;0.973481423860809#17;0.8830581047202953#18;0.9530805911151412#19;0.9559381572222339#20;0.9650001458324219#21;0.9437456049536987#22;0.9506616317033759#23;0.9211708231336168#24;0.9208470879855115#25;0.9428454774784069#26;1.0#27;0.9096604967390582#28;0.9403913868272437#29;0.8981393275262513#30;0.9522963684079043#31;1.0#32;0.9608294670925362#33;0.8938528672131961#34;0.9301409947384346#35;1.0#36;1.0#37;1.0#38;0.9634973283629508#39;0.8964516364736753#40;1.0#41;0.969378985855025#42;0.9517622542075579#43;0.9324947259444386#44;0.9371056743216716#45;0.9321546468447242#46;0.9405649202760213#47;0.857686386607036#48;1.0#49;0.9797928247747512#50;0.97928545271006#
5#1;0.9801737103570464#2;0.9195915598871653#3;0.9805375263959619#4;0.9350430197538369#5;0.0#6;0.9421362437642156#7;0.9098330365332568#8;0.9633382212446617#9;0.9381410425868258#10;0.961424162509477#11;0.7962280968687118#12;0.9154845745271484#13;1.0#14;0.9583333333333334#15;0.978946201973337#16;1.0#17;0.9045296730217534#18;1.0#19;0.9660838276265399#20;0.9850328914977687#21;1.0#22;0.8734075791145417#23;0.8651600275073515#24;0.9419741146814341#25;0.9816691106223309#26;1.0#27;0.8841034187568086#28;0.9808820221774532#29;0.9607968719883012#30;0.9694004969318948#31;1.0#32;0.9497481092370395#33;0.9394772467331197#34;0.8991750891366503#35;0.9759437387837656#36;1.0#37;0.9599679615487282#38;0.8360974829732035#39;0.8782279532382369#40;1.0#41;1.0#42;0.9504926228511663#43;0.9422649730810374#44;0.887037985735617#45;1.0#46;0.9110425006393139#47;0.9695709690274907#48;1.0#49;1.0#50;0.9468505996547266#
6#1;0.9816444225446412#2;0.9379635416268168#3;0.9459437522382664#4;0.9248269025844671#5;0.9421362437642156#6;0.0#7;0.9478260080543949#8;0.9660577883348934#9;0.9618198225839394#10;0.9642857142857143#11;0.9445129047976906#12;0.9087129070824723#13;0.9665923447609469#14;0.9228483250189541#15;0.9415239118310912#16;1.0#17;0.9621192795792921#18;1.0#19;0.926732693788367#20;0.8891452009052614#21;0.9665923447609469#22;0.9179587345857633#23;0.9167749621423521#24;0.919417703597462#25;0.932115576669787#26;0.9527544408738466#27;0.9693430330257518#28;1.0#29;0.9637049561128129#30;0.915011095049489#31;1.0#32;1.0#33;0.9439668185319474#34;0.8651672802826839#35;0.9777282298406313#36;0.9242385591585842#37;0.9629375341669449#38;0.978322250761897#39;0.8975099922886516#40;1.0#41;0.9818151758136673#42;0.9541650751485894#43;0.9198216274262727#44;0.9252982119166004#45;1.0#46;0.8352827181327459#47;0.9718281915090494#48;1.0#49;0.9279976958894021#50;0.9753966084347439#
7#1;0.9356436519789784#2;0.8984974116509952#3;0.9262953698500342#4;0.9121453950285138#5;0.9098330365332568#6;0.9478260080543949#7;0.0#8;0.9900829562030248#9;0.9442236564683549#10;0.9791304032217579#11;0.8703047500339698#12;0.8933130100661837#13;0.9609565595278485#14;0.9549165182666284#15;0.9772197155499243#16;0.9631894913083845#17;0.9188363162861186#18;0.983717759774354#19;0.9449538710440682#20;0.9352221411748736#21;0.9804782797639242#22;0.8972699122976887#23;0.8662607803903858#24;0.9293677585977983#25;0.9404977372181486#26;0.9861960592406441#27;0.8745994863174967#28;0.9275999796688894#29;0.8727462275963356#30;0.9255052645684567#31;1.0#32;0.9592204564129723#33;0.9181427067591774#34;0.8969678047173293#35;0.9739710396852324#36;0.9409718663899045#37;0.9783425959087895#38;0.9366631760077325#39;0.8682422117003388#40;1.0#41;0.9574948857957775#42;0.9531287363995118#43;0.9687652476222788#44;0.9126962130288028#45;1.0#46;0.896872502350671#47;0.9670756801116803#48;0.9774582591333142#49;0.9859751821636696#50;0.9496806395882784#
8#1;0.8953311456021922#2;0.9646250027022566#3;0.9828753063687314#4;0.9714227387392035#5;0.9633382212446617#6;0.9660577883348934#7;0.9900829562030248#8;0.0#9;0.963714249428517#10;0.9660577883348934#11;0.957812854047133#12;0.9876060566796041#13;0.9047499047498572#14;0.9633382212446617#15;0.9259005102195428#16;1.0#17;1.0#18;0.9735186429333812#19;0.9303680763641121#20;0.9473228012304693#21;0.9682499682499524#22;0.8886135201614718#23;0.9703391605665918#24;0.9872360069822086#25;0.967741935483871#26;0.9775493372466532#27;0.9854320863312984#28;0.9495352667310634#29;0.9310116925272589#30;0.9730760269238519#31;0.9716019082876468#32;0.9557842311714618#33;0.9733735385207885#34;0.9802857569328062#35;0.9153332486665396#36;1.0#37;0.9295530046323653#38;0.9793978589142418#39;0.9415572094070106#40;1.0#41;0.9481524152634787#42;0.9128786316261935#43;0.9237999237998857#44;0.9716019082876468#45;0.9617080209466258#46;0.9664547869237639#47;0.9330650559247917#48;1.0#49;1.0#50;0.9181608346296327#
9#1;0.9607541245860889#2;0.9602081418192032#3;0.9807371467867645#4;0.9517819471031704#5;0.9381410425868258#6;0.9618198225839394#7;0.9442236564683549#8;0.963714249428517#9;0.0#10;1.0#11;0.9288181601253658#12;0.9302928519322476#13;1.0#14;0.9587606950578839#15;0.9791621440717293#16;0.9663282485149263#17;0.9055088817476932#18;1.0#19;0.8657267800020645#20;0.9555592130829818#21;1.0#22;0.8872353975176677#23;0.9666357595359347#24;0.9856423169248684#25;0.9455713741427755#26;0.9242385591585842#27;0.967226323732777#28;0.9432343275543552#29;0.9611989659817778#30;0.9848571731427663#31;1.0#32;1.0#33;0.955073506997632#34;0.9334728120823144#35;1.0#36;0.973002537642198#37;1.0#38;0.9536510225340679#39;0.9342601438130825#40;1.0#41;1.0#42;0.9387505053062468#43;0.9714285714285714#44;0.936112343500006#45;1.0#46;0.9496885196385357#47;0.9096492097094748#48;1.0#49;1.0#50;0.9605468020900718#
10#1;1.0#2;1.0#3;0.9639625014921777#4;1.0#5;0.961424162509477#6;0.9642857142857143#7;0.9791304032217579#8;0.9660577883348934#9;1.0#10;0.0#11;0.911220647676305#12;0.9739179734521349#13;1.0#14;1.0#15;0.9610159412207275#16;1.0#17;0.9494923727723895#18;1.0#19;0.9790664839395334#20;1.0#21;0.9331846895218939#22;1.0#23;0.937581221606764#24;0.9731392345324873#25;0.9660577883348934#26;0.9527544408738466#27;1.0#28;0.9646003837297605#29;0.9516066081504173#30;1.0#31;1.0#32;0.9534757894800765#33;0.9719834092659737#34;1.0#35;0.9109129193625252#36;1.0#37;0.9258750683338899#38;1.0#39;0.9590039969154606#40;1.0#41;0.9272607032546692#42;1.0#43;1.0#44;0.9701192847666401#45;1.0#46;1.0#47;0.9436563830180988#48;1.0#49;1.0#50;0.9507932168694877#
