kCluster;avgMae;avgMse;min;max;numClustersWithOneElement
2;0.9409678840834623;0.8913393359756945;488;1193;0
4;0.944635171189256;0.9031388610380148;1;1078;1
6;0.9259343368601344;0.868852932945195;101;470;0
8;0.9426676460617541;0.897885218216407;1;639;1
10;0.9373556767500387;0.8823033440084669;1;451;1
12;0.9263500934905576;0.8678875796217241;39;307;0
14;0.9284216130807775;0.8700572389371882;18;298;0
16;0.9230949937747229;0.8632553524600931;1;401;3
18;0.9369085741398722;0.8805653746024072;1;333;1
20;0.9250924987541601;0.862279053193095;1;192;1
22;0.9285864042280655;0.8733821204954233;1;292;3
24;0.9244711372750859;0.8646413097289769;1;384;1
26;0.929936197096652;0.871193029064739;4;199;0
28;0.9293357889216746;0.8719875483469728;1;297;2
30;0.9251474555405359;0.8672664465575194;6;274;0
32;0.9218383365382488;0.8621872162476601;3;169;0
34;0.9285443353275026;0.8675700236811826;1;200;2
36;0.9138990629738828;0.8536287703867738;8;152;0
38;0.9194891853204442;0.858795062030112;1;228;1
40;0.9227191454202707;0.8631833219123889;1;116;3
42;0.923983798979311;0.8621256337597493;1;119;1
44;0.9156402771162607;0.8517090584195625;1;164;2
46;0.9181300953364311;0.8544252332020824;1;230;2
48;0.909901077852292;0.845060476687354;1;195;2
50;0.9136170388992529;0.8478003167065413;1;131;1
52;0.91493947535169;0.8513620745163095;1;118;3
54;0.9149082659412714;0.8483593659980736;1;105;1
56;0.9111320996615778;0.8469480669128246;1;130;1
58;0.9207409365025669;0.8568067002532065;1;138;5
60;0.9156182195314129;0.8516359630246434;1;112;5
62;0.9140033494527983;0.8494850476228982;1;119;1
64;0.9132303143851418;0.848014447112246;1;106;4
66;0.9103400039609177;0.843518407537334;3;110;0
68;0.9185370588713977;0.8494932151427137;1;85;5
70;0.9117214469329847;0.844474186653332;1;106;4
72;0.8893563777936666;0.8240988108120608;1;94;5
74;0.9037941878231119;0.8382163596501551;1;104;4
76;0.9120925901767265;0.8458419973513147;1;92;5
78;0.912333428548033;0.8450618717240076;1;111;2
80;0.9067136296261008;0.8389935840018713;1;90;4
82;0.907434257048426;0.8402611865152321;1;110;1
84;0.9085457103466286;0.8407572827953713;1;96;7
86;0.8959671074628892;0.8271743137092665;1;87;6
88;0.8975753407502928;0.8298736688235906;1;80;10
90;0.9033461247628741;0.8350156463045876;1;77;4
92;0.9097189177697685;0.842700422382354;1;82;6
94;0.8975461532350569;0.8286227159376617;1;94;3
96;0.8980592752367298;0.8281648812812105;1;89;5
98;0.90058449186412;0.8302658923632464;1;87;4
100;0.8967271782380136;0.8256023553602404;1;75;7
102;0.8915834354332465;0.8233372840111185;1;75;5
104;0.8996094821708583;0.8282100531210008;1;76;3
106;0.8953554614603302;0.82399328342368;1;154;6
108;0.9016285612475436;0.8332790729042558;1;87;4
110;0.8935651434754028;0.8250887769744959;1;99;5
112;0.8902734467814273;0.8216042855374346;1;77;8
114;0.8920358965660309;0.8214282306147368;1;81;9
116;0.8971355929349314;0.8262287477452389;1;142;8
118;0.8954878099484008;0.8232567509194368;1;105;6
120;0.8975822395343387;0.8287230214805558;1;140;7
122;0.8878402316544504;0.8175114515855904;1;89;12
124;0.9008504820842529;0.8290941671179919;1;117;7
126;0.8973147912546159;0.8238991481762664;1;103;13
128;0.8896777664018217;0.8178826931837874;1;111;11
130;0.892385016737942;0.8188117020835889;1;84;6
132;0.8950463465819801;0.8227356838177451;1;78;9
134;0.8876288451077603;0.8148800618765266;1;83;9
136;0.8917584108173496;0.8190274455530946;1;85;6
138;0.9021574912564378;0.8284806222319289;1;77;17
140;0.8944141376087312;0.8212651289027322;1;86;10
142;0.8957952397800681;0.8204422817850239;1;74;8
144;0.8821484025973725;0.8081692457885586;1;75;7
146;0.889171519626706;0.8156233918176525;1;99;7
148;0.8885899314790382;0.8159300798663818;1;72;9
150;0.8889594797389707;0.8143225533811016;1;70;10
152;0.8800614588657163;0.8069433417726185;1;72;10
154;0.8882695546415011;0.8148209605390969;1;67;17
156;0.8918517505897711;0.817142496878453;1;91;16
158;0.891565162709534;0.8151435374833335;1;69;15
160;0.8906861164282793;0.8160571179885175;1;64;12
162;0.898160098137454;0.8244558946029953;1;69;15
164;0.8943227300443891;0.8200514300556816;1;99;12
166;0.8868958563153108;0.8111737421933743;1;73;15
168;0.8789800154786774;0.8043779096957927;1;68;14
170;0.890307416483849;0.8137619754940054;1;109;15
172;0.8916846968625409;0.8147132904053569;1;70;13
174;0.8819286114800347;0.8046086796254648;1;76;21
176;0.8872270642616532;0.8128041664175526;1;118;13
178;0.8834820505906942;0.8064752623264344;1;94;17
180;0.887110481632182;0.8119024350006996;1;74;19
182;0.8884581583306981;0.8123158061906488;1;68;14
184;0.8836293849606812;0.8074282712970946;1;86;10
186;0.8899747323363446;0.8130693352423791;1;70;20
188;0.8776576383525013;0.7993007275400704;1;72;18
190;0.8850148857562177;0.8081917171371147;1;62;17
192;0.8848748948530606;0.8069177931234248;1;71;20
194;0.8838521011469463;0.8068956584371688;1;64;17
196;0.8888428242587818;0.8121768366282569;1;76;20
198;0.8825422740840265;0.8036237338583199;1;127;23
200;0.8831177351833744;0.8059719098785657;1;61;22
