2200s;1
Insulin;2
Piano Player;15
Hieroglyphics;1
Fan Dancer;1
Social Differences;1
Cigarette Case;8
Learning Speech;4
Bully Comeuppance;10
Reference, To José Lezama Lima;1
Dying In A Shower;1
Used Car Dealer;3
Insane Man;2
Word Game;2
Harrod's London;1
Chinese;18
Interracial Rape;3
Reference To The Fountainhead;1
Emancipation;1
Dress As A Parachute;1
Direct Cinema;1
Scatology;2
Dishonesty;7
Avarice;3
Scottish Brogue;1
Terrorist Bombing;1
All Male Jury;1
Chicken Blood;1
Private School;5
Magnum Handgun;1
Interracial Family;2
Courtyard;4
Hieroglyph;1
Skateboarding;4
Robin Hood;4
Camera In Cigarette Lighter;1
Stockton California;1
Holy Water Gun;2
Dice;1
Liberty;6
Kindness;16
Ford Mustang;1
Martial Law;3
Irish Mob;3
Paraphilia;1
Resentment Toward Stepfather;1
Pressure From Son;1
Hunting Guide;1
Mass Media;1
Reference To Dwight D Eisenhower;2
The Art Institute San Francisco;1
Virus;5
Landlord;12
Cartoon Bear;1
Prague Czechoslovakia;3
Human Potential Movement;1
Latchkey;1
Human Head On Dog's Body;2
Italian Culture;1
Spectacle;1
Nuclear Warhead;1
Ipod;1
Astrology;3
Hot Springs;1
Two Holiday Story;1
Navy Sea Air And Land Force;5
Guard Dog;5
Caught In The Act;2
Thermonuclear Catastrophy;1
Test;2
Institutional Life;2
Shakespeare's The Tempest;1
Cartoon Fish;1
Praying;4
Honey Torture;1
Deed;1
Science Goes Awry;3
City In Ruins;1
Sex Talk;14
Guts;1
Jedi Knight;4
Pipe Dream;1
Reference To Slinky;1
Exploding Helicopter;21
Junk Shop;1
Anthropomorphic Insect;1
Hand Clapping Game;1
Driving On The Sidewalk;1
Medical Drama;1
Cow Puppet;1
Airplane Crash;8
Pole Dancing;3
Tartar Buildup On Teeth;1
Black Gloves;2
Hospital Ward;1
El Train;8
Blowing Up Building;1
Right To Choose;1
Taking Up With Husband's Killer;2
Male Bonding;19
Jeep;19
Pianoforte;3
Innocent;1
Clarinet Player;1
Spinning A Coin;1
Creation;3
Scraping Chalk On Chalkboard;1
Mandolin;3
Rodez Asylum France;1
Female To Male Footsie Playing;10
Candle;55
Passing Out;5
