kCluster;avgMae;avgMse;min;max;numClustersWithOneElement
2;0.9997885142130198;0.9995771070712708;336;1345;0
4;0.9996392155690612;0.9992787844797391;36;1047;0
6;0.9996425990760094;0.9992855344888872;11;665;0
8;0.9996137783695003;0.9992279373500049;18;866;0
10;0.999598512173107;0.9991974964180346;2;1053;0
12;0.9996342570825241;0.9992688516187903;1;1140;1
14;0.9995115048350882;0.9990234956784763;3;637;0
16;0.999615146730059;0.9992306285558183;1;516;1
18;0.9994750777264743;0.9989507403649949;1;364;3
20;0.9994246649687346;0.9988499884474479;1;519;1
22;0.9995179416452915;0.9990364063214046;1;583;2
24;0.9995178904978015;0.9990362959484687;1;372;1
26;0.9995291407502583;0.9990588713017124;1;336;3
28;0.9995168257583511;0.999034106026859;1;659;6
30;0.9995644218990415;0.9991292714112997;1;726;1
32;0.9995560454317205;0.9991125623249844;1;465;5
34;0.9995300245508361;0.9990605215454199;1;608;2
36;0.9994116042850815;0.998823972467036;1;286;3
38;0.9994175736065252;0.9988358594556078;1;283;4
40;0.9994337745838362;0.9988683579248698;1;396;7
42;0.9993924439826247;0.9987857001731668;1;503;5
44;0.9993627320838506;0.998726349380189;1;418;7
46;0.9994572465843938;0.9989154063541533;1;309;10
48;0.9994007763490561;0.998802244451461;1;459;11
50;0.9994611654529848;0.9989230315011134;1;395;11
52;0.9993474416473571;0.9986957924860168;1;373;11
54;0.9994532912762075;0.9989073383038394;1;567;14
56;0.9993471267930754;0.9986952377065743;1;201;13
58;0.9994098775110463;0.9988204633879089;1;257;14
60;0.9993028215643441;0.9986070481032963;1;410;12
62;0.9993776966014537;0.9987562441779934;1;297;15
64;0.9993797038385739;0.9987604288553824;1;303;13
66;0.9992921318324656;0.9985853803916818;1;216;13
68;0.9993511601118958;0.9987034001743432;1;288;15
70;0.9993430854635679;0.9986871757073967;1;243;18
72;0.999396215344431;0.9987931935707042;1;512;13
74;0.9992917636375236;0.9985848550604283;1;301;15
76;0.9993778791072502;0.9987565189759765;1;255;21
78;0.9994298940268573;0.9988604302447729;1;360;25
80;0.9992533288784844;0.9985084398549895;1;365;22
82;0.9991700235402589;0.9983414909320628;1;195;23
84;0.9993365697743002;0.9986742229294374;1;331;19
86;0.9993771160222631;0.9987550007507795;1;272;24
88;0.9992515599975784;0.9985046017612045;1;351;24
90;0.9992732558483464;0.9985477482213537;1;393;23
92;0.9992483966756653;0.9984981787698899;1;290;29
94;0.9992246233382356;0.998451100285088;1;356;35
96;0.9992752909370544;0.9985518095509873;1;260;24
98;0.9992154728606104;0.9984323011457755;1;182;27
100;0.9992881702049097;0.9985777154306906;1;262;32
102;0.9992406430893761;0.9984829496875385;1;157;25
104;0.9992194353202296;0.998440137636227;1;361;34
106;0.9992570561497269;0.998515495879106;1;370;34
108;0.9993161824400303;0.9986332779923008;1;422;28
110;0.999176503523739;0.9983548114412031;1;303;37
112;0.9991811457367543;0.9983645881534587;1;459;41
114;0.9992588565760966;0.998519351897973;1;366;33
116;0.9992437320867144;0.9984887690699242;1;277;37
118;0.9993503608246649;0.9987016029642894;1;206;28
120;0.9992451625632836;0.9984918476702905;1;209;40
122;0.9991966355676032;0.9983947440549659;1;147;40
124;0.9993275838931407;0.9986561721619779;1;243;44
126;0.9991801085113714;0.9983615680305352;1;225;39
128;0.9992006373987632;0.9984026631773577;1;227;37
130;0.9991351621356507;0.9982719835126945;1;341;56
132;0.999233925269168;0.9984691576748772;1;246;48
134;0.9992767067406414;0.9985545114986707;1;354;49
136;0.9991451297080302;0.9982925387823525;1;161;49
138;0.9990530571263341;0.9981096859064759;1;431;51
140;0.9992666134925061;0.9985344102430712;1;181;51
142;0.9992672667571845;0.9985355760401823;1;290;54
144;0.9991936821535903;0.9983888883352;1;200;42
146;0.9991149201506822;0.9982317012914653;1;156;58
148;0.9992155780932267;0.9984325807366184;1;273;52
150;0.999210899088939;0.9984229405903863;1;230;58
152;0.9992725522285626;0.9985462070170101;1;310;67
154;0.9990643404795041;0.9981317710797266;1;383;59
156;0.9992182230674178;0.9984380500358329;1;163;57
158;0.9991091623320041;0.9982206756247024;1;186;51
160;0.9990762841180353;0.9981547687696901;1;236;61
162;0.9992260649707043;0.9984538721770927;1;191;62
164;0.9990466829187613;0.9980958154918229;1;148;60
166;0.999189417449256;0.9983805121661303;1;416;67
168;0.9991022134698879;0.9982065280456539;1;308;70
170;0.9991309641710902;0.9982642234158821;1;197;57
172;0.9992314879246559;0.9984641013249685;1;157;64
174;0.9991486227203957;0.9982995133164344;1;297;71
176;0.9990822578775567;0.9981667032150568;1;256;66
178;0.9990636413058981;0.9981298514215541;1;153;78
180;0.9992131536809716;0.9984277307757087;1;199;77
182;0.9992103274958873;0.9984219882914487;1;230;74
184;0.9990716718215922;0.9981459293194636;1;128;84
186;0.9990780984399728;0.9981585786612572;1;249;80
188;0.9990383025531165;0.9980794726419707;1;133;84
190;0.9990876159962058;0.9981779665271401;1;226;77
192;0.9991119552162687;0.9982256119345692;1;243;78
194;0.9990679768193628;0.9981384340177375;1;258;91
196;0.999148894566967;0.998299980020126;1;181;86
198;0.999124607764074;0.9982514001852335;1;208;79
200;0.9991069157017555;0.9982154218629152;1;193;88
