kCluster;avgMae;avgMse;min;max;numClustersWithOneElement
2;0.9166204471749839;0.8610820646375014;243;1438;0
4;0.9319942937819022;0.8821909272114852;200;793;0
6;0.9260865466329734;0.8723443140468667;100;620;0
8;0.9259657254254171;0.8753474373197999;1;604;1
10;0.928390314962614;0.875639050064845;1;340;1
12;0.9225188048710468;0.8687067246483139;1;450;2
14;0.9281596012919167;0.8739290927800022;42;296;0
16;0.9207644774510818;0.8650033649280703;1;385;1
18;0.9250055669111963;0.869727128277082;13;253;0
20;0.9277099168914912;0.8739771088148431;21;328;0
22;0.9231590482627329;0.8698360918432041;1;314;2
24;0.9172947061422545;0.8553728541067531;1;189;1
26;0.924739251530028;0.8719097591828409;1;185;1
28;0.9224763898130045;0.8698865325336385;1;292;1
30;0.9257028499969048;0.8743393718384288;1;214;2
32;0.9154926713693301;0.8605412625241657;1;225;2
34;0.9229553795812985;0.8652501135879999;1;182;2
36;0.9172879901564901;0.8612876070834352;1;290;1
38;0.9202598410467075;0.8625917819221399;1;186;2
40;0.9162573707571574;0.8582986990930533;1;246;2
42;0.9136423823943997;0.8557198320071095;1;185;4
44;0.9224613181907602;0.8664157208645632;1;140;2
46;0.9005646650562222;0.8392151700171026;1;148;1
48;0.9220099524464069;0.8655757205449315;1;124;2
50;0.9135806381383409;0.856667722512581;1;205;1
52;0.9154126796148909;0.8568190371333442;1;227;4
54;0.9068950892830733;0.8504499731457306;1;149;1
56;0.9180870167627857;0.8618024746287989;1;114;3
58;0.9174564169706668;0.8591058827331984;1;97;1
60;0.9100057959369031;0.8515841743827881;1;135;3
62;0.9031074116780685;0.8434218854136736;1;154;3
64;0.9065400089654196;0.845542975685691;1;105;2
66;0.9069920439057906;0.846782600168232;1;118;3
68;0.9107726885382204;0.8512344813516484;1;122;7
70;0.9153508201497252;0.855996446856285;1;105;5
72;0.9030830589574983;0.840848078218451;1;137;5
74;0.9140688417220287;0.8525961165289984;1;131;3
76;0.90763564412187;0.8488482273765299;1;92;4
78;0.9055728574744498;0.8441340102121617;1;117;4
80;0.9088790980696523;0.8466521470472095;1;104;6
82;0.9015876212219301;0.8384926453931185;1;80;5
84;0.9034638197096804;0.8429183763873906;1;93;4
86;0.9064917055593971;0.841548581569182;1;80;3
88;0.9016582922066786;0.8382329533578341;1;94;3
90;0.9069624109528999;0.8452770999496138;1;81;8
92;0.9035020425860903;0.8415351817508785;1;129;8
94;0.8988191530328146;0.8355278489252213;1;123;3
96;0.9023275122773262;0.8396506744214611;1;79;5
98;0.8996214956267913;0.8371498780893317;1;80;9
100;0.9008282772823626;0.8380609331031191;1;105;7
102;0.8996783978913242;0.8354970569032084;1;81;5
104;0.8984002546335744;0.8354487040903316;1;88;2
106;0.8985847384411315;0.8339444679992921;1;74;5
108;0.9029606934200142;0.8375738120132595;1;82;6
110;0.9003595762480787;0.8338715637368673;1;77;3
112;0.903307529640589;0.8383441784572572;1;84;3
114;0.8932539220943752;0.8281368240121932;1;79;3
116;0.8975684243570624;0.8345813311832649;1;88;8
118;0.889603723651234;0.8234609203131846;1;102;7
120;0.9082351306909526;0.8427951299992884;1;95;12
122;0.8877376618261213;0.8214430780336487;1;78;8
124;0.9003401750468565;0.8354642378178823;1;109;13
126;0.8913086417501301;0.8248330209855866;1;75;7
128;0.8955296659491915;0.8304162977132278;1;77;9
130;0.8891194353508911;0.821807960444512;1;102;10
132;0.8981892950173194;0.831331180615959;1;75;15
134;0.897088702507425;0.8316360547862136;1;84;8
136;0.890323201993959;0.8251403788525516;1;84;19
138;0.8956833356795434;0.8303558049468998;1;79;11
140;0.8873593241025963;0.8209270257993482;1;79;10
142;0.8980174084097925;0.8312613337736153;1;88;8
144;0.8949789538160465;0.8290416076815073;1;112;12
146;0.889729295622092;0.8233778239795944;1;71;7
148;0.896111678053209;0.8298521769843362;1;83;12
150;0.8910031337512812;0.8240648413786351;1;84;11
152;0.8895180431221339;0.8213388470814954;1;74;11
154;0.8912257910999849;0.8227508620919768;1;77;8
156;0.894227554349925;0.8268520274205421;1;87;12
158;0.8844256862332411;0.8151094721429947;1;68;12
160;0.8900494398650154;0.8214716887268165;1;67;16
162;0.8955294563912982;0.8284871603801693;1;65;22
164;0.8865008418586291;0.8197180957821923;1;85;15
166;0.8860976500246328;0.8185785525313966;1;73;15
168;0.8962322913870104;0.8285926516269378;1;67;13
170;0.8867280762164658;0.8187374106092343;1;78;17
172;0.8811788871120344;0.8102351991370531;1;78;19
174;0.8914873518373493;0.8231482329418623;1;71;15
176;0.8947737232109974;0.8227582108552047;1;71;15
178;0.8928523249044622;0.824420506227891;1;68;17
180;0.893483002622582;0.8256424912048113;1;71;19
182;0.8896269841028482;0.8188452368038814;1;73;18
184;0.8830433497314467;0.8140074684292029;1;72;19
186;0.8923950406912258;0.8198447862790953;1;71;18
188;0.8921458754733235;0.8224902871553634;1;72;20
190;0.8837817528890112;0.8143136702636556;1;67;21
192;0.887070367881522;0.8175909659418171;1;70;15
194;0.8827067302346551;0.8136383328878437;1;78;22
196;0.884203206380294;0.8113590416966265;1;71;15
198;0.8876705548096381;0.8175253800765802;1;67;18
200;0.8937100501051394;0.823696249443919;1;68;23
