kCluster;avgMae;avgMse;min;max;numClustersWithOneElement
2;0.9988586300021893;0.9977197084492271;511;1170;0
4;0.9989781902141369;0.997959414051577;37;873;0
6;0.9989520643929374;0.9979069504789576;19;906;0
8;0.999376115760434;0.9987532368875306;1;816;1
10;0.9992716911811177;0.9985446808488694;18;686;0
12;0.9993420171594568;0.9986851134328628;1;712;1
14;0.9992305023085706;0.9984626977653998;1;835;2
16;0.9992706609523817;0.9985434015032937;1;538;2
18;0.9993937024389106;0.9987885203424748;1;791;5
20;0.9993956754279173;0.9987922488331837;1;835;2
22;0.9993105115284059;0.998622239364451;1;514;4
24;0.9994709259816813;0.998942683110687;1;633;3
26;0.9991319676003099;0.9982660679472896;1;323;4
28;0.99942848249483;0.9988578355244184;1;560;9
30;0.999421495318;0.9988439181406246;1;465;5
32;0.9994473325065995;0.9988954278334841;1;517;6
34;0.9991508411051261;0.9983051452459785;1;497;9
36;0.9994148503110395;0.9988307293043402;1;683;4
38;0.9991614717890293;0.9983262427371368;1;453;8
40;0.9991026021073524;0.9982080572973894;1;383;5
42;0.9991988233142846;0.9983997068402528;1;392;8
44;0.9992738690570522;0.9985496662933978;1;389;7
46;0.9992421712915042;0.9984861452502787;1;472;9
48;0.9993349916877636;0.9986711205902634;1;627;11
50;0.9989709095053014;0.9979458319122682;1;361;13
52;0.9991401836883481;0.9982829461604811;1;301;10
54;0.9991395840183755;0.9982812412565122;1;430;15
56;0.999137551107756;0.9982772875568608;1;369;23
58;0.9992483681464178;0.9984993502186421;1;611;11
60;0.9992287799156947;0.9984598600424182;1;329;16
62;0.9992702739504401;0.9985421727061046;1;507;12
64;0.9992566266716034;0.9985153742683202;1;447;15
66;0.999387741390328;0.9987763605089601;1;574;19
68;0.998967614104361;0.997938484399632;1;299;22
70;0.9993047241225033;0.9986114682691002;1;343;19
72;0.9993162278035972;0.9986336861047787;1;284;24
74;0.9991883203934296;0.9983787280813051;1;414;17
76;0.9991768900333903;0.998356359952024;1;246;21
78;0.9991067598071431;0.9982167058476669;1;312;23
80;0.9990699989436699;0.9981427242374792;1;342;30
82;0.9990876516071485;0.9981781520977049;1;344;29
84;0.9991603147130801;0.9983236239307495;1;314;21
86;0.9987350712687588;0.9974762792159808;1;250;28
88;0.99922043752467;0.998442409427957;1;361;32
90;0.9991150939845157;0.9982326189018422;1;288;31
92;0.9991920760688913;0.9983860594535873;1;396;23
94;0.9989661148690685;0.997935791143278;1;350;27
96;0.9992429391099042;0.9984886322539261;1;295;31
98;0.9991323762052986;0.9982678465887345;1;392;29
100;0.9991690411413753;0.9983402850432963;1;459;30
102;0.9992575051191904;0.9985163622171505;1;309;35
104;0.9992341204267906;0.9984699938635289;1;425;30
106;0.9991077721340308;0.9982184608635243;1;326;36
108;0.9990557282345621;0.998113660836545;1;250;35
110;0.9990849935740892;0.9981729608242947;1;299;36
112;0.9990298738341156;0.9980626960220873;1;412;41
114;0.9990611626828244;0.9981256899785873;1;293;40
116;0.9991288920316366;0.9982603843345406;1;276;41
118;0.9989053780492457;0.9978161292751524;1;167;43
120;0.9991322998910327;0.9982670654350476;1;424;47
122;0.999277033075126;0.9985555518779199;1;425;46
124;0.9991197282855828;0.9982413025151665;1;232;48
126;0.999013691085248;0.9980307648222285;1;268;48
128;0.999149158742411;0.9983006774714934;1;387;45
130;0.9991463399303191;0.998294989090337;1;297;52
132;0.9990205637124291;0.9980442221089745;1;355;56
134;0.9991151179560006;0.9982332486001977;1;295;51
136;0.9990922906288107;0.9981879035837297;1;396;55
138;0.999220872674182;0.998443741726755;1;287;49
140;0.9991602731176233;0.9983227840194207;1;403;54
142;0.9991991529511702;0.998400095577708;1;234;55
144;0.999099538942323;0.9982016729095515;1;383;48
146;0.9990670427066614;0.9981367654027788;1;325;57
148;0.998975489063021;0.997954953185725;1;263;65
150;0.9991498624486483;0.9983017504588191;1;404;57
152;0.999171554312624;0.9983447943663479;1;229;63
154;0.9989119051094093;0.9978282537186196;1;200;69
156;0.998888020301963;0.9977815109880332;1;247;64
158;0.9989313032148943;0.9978667714149428;1;245;62
160;0.9990508663711074;0.9981042259890129;1;435;63
162;0.9990801649726022;0.9981632047512243;1;267;68
164;0.9991945897545338;0.9983906635348178;1;350;67
166;0.999101015608214;0.9982047510345494;1;336;68
168;0.9989678081403434;0.9979389591789967;1;184;72
170;0.999236787610638;0.9984752980005754;1;436;73
172;0.9991363274280896;0.9982749041244845;1;240;85
174;0.9990460885948544;0.9980953000170303;1;290;67
176;0.999005862183428;0.9980154653217349;1;237;74
178;0.9990600771979983;0.9981226063280656;1;219;68
180;0.9990304228810881;0.998063498104794;1;414;70
182;0.9990538031108506;0.9981107467074348;1;221;84
184;0.998930739359785;0.9978656073060086;1;244;71
186;0.9989552929970952;0.997913564859295;1;243;91
188;0.9988309592742437;0.9976659920237215;1;317;81
190;0.99909425539704;0.9981907626520508;1;273;78
192;0.999107929429527;0.9982185340118563;1;316;91
194;0.9990802522354894;0.998162844625788;1;146;93
196;0.9988411922955412;0.9976869047767041;1;186;87
198;0.9990354872005538;0.9980741600079557;1;198;82
200;0.9989185126962442;0.997841023701651;1;177;96
