kCluster;avgMae;avgMse;min;max;numClustersWithOneElement
2;0.9409678840834623;0.8913393359756945;488;1193;0
4;0.9251048530811681;0.8696347091868865;207;593;0
6;0.9264749602727423;0.8705337238073402;68;725;0
8;0.9291400105373473;0.8747231213166092;62;375;0
10;0.9289212435372705;0.8720053672040118;40;414;0
12;0.9305117686764053;0.8759215754902034;1;289;1
14;0.933410202037834;0.8802607473136652;32;461;0
16;0.931376995942574;0.8800419509708716;10;409;0
18;0.9234137835749257;0.866551173557921;1;282;1
20;0.9216278408904848;0.863713262243229;1;325;2
22;0.9166238253048582;0.8592982617693643;1;438;1
24;0.9182303250186208;0.8566278639993354;1;187;5
26;0.9135354995751055;0.8536504379705907;1;223;1
28;0.9104429644453426;0.8489426193646251;11;161;0
30;0.9157692758212831;0.8544521593696744;1;240;2
32;0.9179973694936182;0.8620260282891113;6;190;0
34;0.9116208587581072;0.8497436357359263;1;158;1
36;0.9192722756415149;0.8612062248783257;1;178;2
38;0.9138995596908103;0.8533974585242943;3;165;0
40;0.9143159646140849;0.8524895572513179;1;165;2
42;0.9162060160823791;0.8529646271268551;1;136;2
44;0.906664314838406;0.8420083478895067;1;119;3
46;0.9156043988613297;0.8542790050965767;1;151;2
48;0.9142886943502458;0.8542414379669099;1;132;2
50;0.9117609124559487;0.8456007618181145;1;168;1
52;0.9046734807107326;0.8407462390940927;1;106;3
54;0.9043859451967949;0.8419249544272349;1;165;2
56;0.9123405604286403;0.849706551564116;1;117;2
58;0.9095665080715769;0.8470959300779914;1;118;1
60;0.899378029519859;0.8350420475020421;1;118;5
62;0.89974415636578;0.833588614288148;1;140;1
64;0.906492268204344;0.8409871053419701;1;134;1
66;0.8737251866753799;0.8075267679555158;2;111;0
68;0.9095307586849433;0.8424890814893737;1;133;4
70;0.8993029162371219;0.8332127818711094;1;94;3
72;0.8976469067642441;0.8341549502643184;1;116;3
74;0.9053552876441591;0.8400044690266368;1;103;5
76;0.8982751333190012;0.8316693593687747;1;146;4
78;0.8941869586697102;0.8274749605723993;1;108;9
80;0.8945781802367572;0.8266964936145064;1;130;4
82;0.9001155126293404;0.8342071905904835;1;104;8
84;0.899719457524948;0.8330183487236973;1;90;5
86;0.8930029270289884;0.8267493288075621;1;95;4
88;0.8902772854282227;0.8232580369533754;1;145;5
90;0.894878940137598;0.8295287099047616;1;112;2
92;0.895931985806533;0.8287743947634366;1;129;7
94;0.8999071725045764;0.8315578007410217;1;80;5
96;0.8841140085952609;0.815940247656912;1;91;4
98;0.8918471132968414;0.8219269301915709;1;80;4
100;0.8996662259566198;0.8321472757200674;1;111;9
102;0.8862298703396237;0.8182267089560807;1;98;3
104;0.8912005450312552;0.8234754113322741;1;93;7
106;0.8831565017762564;0.8138560268450414;1;78;4
108;0.896476176806423;0.8269926957627597;1;85;6
110;0.8857121475676424;0.8172044094413327;1;77;7
112;0.8828587371076613;0.8145623247247771;1;97;6
114;0.8851751543894173;0.8156874260226761;1;94;6
116;0.8884387891897989;0.817415824418496;1;79;10
118;0.8894425977715421;0.8195638798256264;1;84;8
120;0.8870680148818729;0.8158952416795217;1;79;5
122;0.8846705028376741;0.8133359165814963;1;84;5
124;0.8844682501933117;0.8134654292618458;1;79;5
126;0.8858087639517782;0.8145392343419222;1;71;11
128;0.8918947533345155;0.819952212045782;1;76;5
130;0.8856607468526395;0.8165192231241473;1;83;7
132;0.875560828512467;0.8055138400381642;1;78;10
134;0.881532920390298;0.8089789555063888;1;81;7
136;0.8883482787551814;0.8179522501837729;1;109;10
138;0.8720800988466442;0.8007961337737477;1;74;8
140;0.8777224745185374;0.8063383081252178;1;78;5
142;0.8671628986640759;0.7933527035191089;1;74;5
144;0.8754616418663405;0.8022267026435539;1;74;7
146;0.8799973854798654;0.8086671462496172;1;77;16
148;0.8766117291023595;0.8041080304503022;1;92;5
150;0.882974134478025;0.8087786719819847;1;72;13
152;0.8769761866762841;0.8033785802323276;1;77;14
154;0.8829196309997963;0.8087729459807014;1;69;11
156;0.8804518876420139;0.8058003659715434;1;71;14
158;0.89596493291118;0.82449623875889;1;71;12
160;0.8675133846500385;0.7938257796906008;1;74;15
162;0.8816341671072944;0.8064027335234232;1;74;13
164;0.8754976897033516;0.8029737409807378;1;72;11
166;0.871293036426099;0.7976674451615753;1;86;15
168;0.8705786795919772;0.7967706749378809;1;71;12
170;0.8845918917989029;0.8083060936146012;1;85;15
172;0.874002845685233;0.7988180591849872;1;68;14
174;0.872650775679567;0.7976095507206172;1;66;13
176;0.8710936249722693;0.7967950857849226;1;105;12
178;0.8809926127093538;0.8059587083615187;1;67;15
180;0.8724319394235698;0.7996918134873343;1;72;15
182;0.8928212817643841;0.8186627570069234;1;65;21
184;0.8746802438728404;0.8013781150803384;1;86;23
186;0.8750421026101732;0.8006207064857367;1;65;18
188;0.8728398830182952;0.7977382258281333;1;68;25
190;0.8761991778988378;0.8002854286622091;1;67;16
192;0.8688247349941421;0.793684760370894;1;67;20
194;0.875182006759888;0.7974615876835187;1;74;17
196;0.875327642631102;0.7999210357192883;1;65;22
198;0.8713210809533861;0.7937648987738788;1;80;19
200;0.8769577027525961;0.8014416468023808;1;77;15
