kCluster;avgMae;avgMse;min;max;numClustersWithOneElement;RSS;numRuns
2;0.9403699294895705;0.8899408618612796;576;1034;0;1441.3338891641133;3
4;0.9418084684008419;0.8909073891537984;10;721;0;1424.0930425537754;2
6;0.9242320880710778;0.8641910828783712;153;356;0;1387.9628646430065;2
8;0.9292698602994698;0.8721951908813228;59;367;0;1378.2176027941225;4
10;0.9350571749070319;0.8804223516858787;50;372;0;1381.937048090493;2
12;0.934002138970719;0.8784919844978695;26;394;0;1370.4417877590301;3
14;0.9250649900281586;0.8592652660977693;16;317;0;1344.7113457086093;2
16;0.9234741583087313;0.8645323972933728;13;300;0;1351.0866729804814;3
18;0.9239628914943572;0.8608234509193106;13;285;0;1345.1882392994603;2
20;0.9253208753554247;0.8648070299037401;11;354;0;1350.5975131187831;5
22;0.9212770852187073;0.8578291379718922;6;369;0;1333.4335668833094;2
24;0.9044534362571222;0.8402121739741882;8;191;0;1327.1621510154187;3
26;0.9183759904951032;0.8522386211649823;5;198;0;1330.4752400719574;3
28;0.925941699747357;0.8614178483815735;6;224;0;1327.2396951336623;3
30;0.9138926239727038;0.8446700016317301;10;231;0;1317.6811052755909;3
32;0.9158938900457997;0.849716738667666;6;202;0;1316.5445263057031;3
34;0.9163752595672229;0.85116470489938;1;269;1;1322.1771973858324;3
36;0.915115749625643;0.8481749051485257;5;288;0;1310.489024303454;2
38;0.9101843509772934;0.8429562615753826;3;273;0;1302.6428331260863;3
40;0.9178807784895626;0.8481025417703879;3;232;0;1307.7846400786823;5
42;0.9205526014670783;0.8554936077732073;1;308;1;1306.8502092298802;2
44;0.912941612980103;0.8423673440516283;5;247;0;1294.1685815183926;5
46;0.9029413649972604;0.8341768627103671;4;218;0;1286.8762290697182;3
48;0.9065456186171558;0.8330667445617376;3;249;0;1288.5178278218802;5
50;0.9039151211297961;0.8313224997641646;1;205;1;1274.428372841539;3
52;0.8920773689891142;0.8202065477576782;3;187;0;1274.2511248712312;3
54;0.8983242647294051;0.826489305894256;2;261;0;1277.8632820552782;5
56;0.8884096034889036;0.8149002647731491;3;216;0;1261.11060840496;4
58;0.906761573249787;0.8341227555942237;4;183;0;1263.4687288607722;5
60;0.9073237411091751;0.8327153457422558;3;202;0;1259.1829301808768;3
62;0.9055245552817535;0.8347355274986923;3;240;0;1263.9452598445023;3
64;0.8946286603486873;0.8200304081377899;3;236;0;1258.113593692137;3
66;0.8949695185191076;0.8225418073705826;3;265;0;1256.6353529331166;4
68;0.904122472043556;0.8316897626062623;1;204;1;1261.0564229122647;4
70;0.9018778417514773;0.8280061484474505;1;158;1;1248.535520951983;4
72;0.8889990507793998;0.8114331548294971;2;183;0;1235.4104975925081;3
74;0.8863437434173151;0.8131204418668005;1;154;1;1233.095708305354;3
76;0.8932816454169522;0.8184923508711677;2;202;0;1236.6853160304427;3
78;0.8903258379779301;0.8136742692020329;1;190;1;1226.4724601414482;3
80;0.8959605296960909;0.8188467699003246;3;185;0;1231.1843614532113;4
82;0.8949073355299554;0.818021389440209;3;168;0;1222.1341390127718;3
84;0.8754237503598429;0.7990891469759981;1;212;1;1225.743704083579;4
86;0.888007373117483;0.8103130723760024;1;199;2;1228.0677777111164;3
88;0.8898124467162088;0.8124424915125078;2;194;0;1223.7013291997998;4
90;0.8830569851884265;0.8052975285440367;1;239;5;1225.1581351771733;3
92;0.8888528186936032;0.8084045404919303;1;175;3;1206.888100610116;3
94;0.8853422173552165;0.8075619979215213;1;239;4;1210.283152624937;4
96;0.8780634374260041;0.7995681931397279;1;220;2;1210.1746724989002;4
98;0.8979582635976564;0.8186389456668104;1;161;6;1206.4532937098445;4
100;0.8830016167966711;0.8052639996329042;1;170;3;1196.3403489048621;3
102;0.88780863869422;0.8075087204290046;1;154;4;1197.5324818094707;3
104;0.8786134295814285;0.799197874121613;1;165;4;1197.3278072167172;4
106;0.8868838445641661;0.8060759494000099;1;182;4;1194.5637427697684;4
108;0.8869626934090987;0.8052671454670902;1;185;5;1194.6366941722124;4
110;0.8934345324769432;0.8113061811676354;1;133;2;1180.8772150760296;3
112;0.8639058814959099;0.7851140997242841;1;256;3;1186.6270348735145;4
114;0.8776447130288099;0.7952941504882156;1;188;2;1179.573918321627;4
116;0.8703147664897419;0.7888988820023963;1;162;1;1174.7286918333716;3
118;0.8792822418502174;0.7999410180723523;1;197;2;1182.9471155094993;5
120;0.8901101098708194;0.8080191352632258;1;139;6;1180.4608689242152;3
122;0.8782646973348848;0.7941834622802976;1;215;7;1174.1020340050877;6
124;0.8858434293785177;0.8033321467838436;1;152;3;1174.6283134993228;3
126;0.8683956965918644;0.7873508244688653;1;179;6;1166.5050326094333;3
128;0.8785173083701433;0.7982905672806727;1;159;4;1172.0646429401838;4
130;0.880696768697701;0.7984781411221517;1;125;4;1167.318379848603;4
132;0.8734859182595797;0.7917513166902007;1;185;4;1158.013363576631;8
134;0.8848342056397034;0.8023671512367009;1;179;4;1165.2176818417379;4
136;0.8741454448248446;0.7886978588971251;1;151;5;1157.0831858395738;4
138;0.8740077238052327;0.7895655154875184;1;155;6;1141.1077398793827;5
140;0.8823918838840804;0.7983122197040393;1;132;4;1148.5512855947502;5
142;0.8755835768242572;0.7912372267706597;1;143;5;1149.6539730034906;5
144;0.8802743028643979;0.7965489436673612;1;189;7;1152.510991269029;3
146;0.8697302678539641;0.7869655641277347;1;136;6;1145.4726936579118;4
148;0.8781833556157697;0.7897792408060962;1;138;7;1145.8583527390344;5
150;0.8811836023113321;0.7952746044106587;1;142;6;1142.9043205693968;5
152;0.870257656331562;0.7868384156541008;1;141;11;1138.2021516250368;5
154;0.8710688977194153;0.7873285931809533;1;126;6;1129.9959671567042;5
156;0.8747656997132401;0.7915239993241248;1;121;7;1133.562150114288;3
158;0.8725086075278308;0.7895652233273786;1;189;14;1139.995441906176;5
160;0.8750431127109741;0.7895800628359729;1;182;13;1138.7141049950126;5
162;0.877699549740841;0.7915578504719046;1;188;10;1137.3008119618912;3
164;0.8752039792472328;0.7882467804340134;1;134;6;1124.0299311168246;4
166;0.8705472735060906;0.7857251413448755;1;114;12;1122.6261806138255;3
168;0.8762734202454114;0.7863175672176582;1;125;10;1117.1161034337972;5
170;0.8814278812451546;0.7948506538663109;1;205;15;1126.4670637940287;3
172;0.8750650093813336;0.7894346686184773;1;102;11;1116.7043505057375;5
174;0.8705200211175401;0.7831587094138277;1;155;13;1113.1818617914817;3
176;0.87491387994551;0.7896044755567353;1;119;15;1111.7503978850398;3
178;0.8656293647586797;0.7772321849787285;1;133;13;1103.9009602973695;5
180;0.8662170724117855;0.7780301322930071;1;131;14;1100.312590156975;5
182;0.8680259422701405;0.7802455358029997;1;174;16;1113.1553945558483;6
184;0.8670956053207286;0.7782776720367867;1;153;15;1105.1567800331406;4
186;0.8692290002118284;0.7828453651075236;1;175;12;1108.7530358060953;4
188;0.8711852417361309;0.7838345256393822;1;159;11;1099.544308047143;7
190;0.8736467272669728;0.7871832163179306;1;153;14;1097.6926748942392;4
192;0.8721802183325698;0.7841025565593447;1;133;15;1097.384688598658;3
194;0.8671316948367572;0.7803343851958736;1;172;14;1094.477377846919;4
196;0.8624793446719118;0.7726287433437657;1;109;19;1086.8521224294961;4
198;0.8681232518901117;0.7776407096804653;1;168;16;1085.1586692814817;3
200;0.8646716838897957;0.7757981434486891;1;120;20;1077.3480544448685;3
