kCluster;avgMae;avgMse;min;max;numClustersWithOneElement;RSS;numRuns
2;0.9515776463655852;0.9071101650641109;729;880;0;1458.327854315638;3
4;0.9500070544177555;0.9039177723996161;84;650;0;1440.9406947173266;3
6;0.9418148085402189;0.8887343794667574;1;622;1;1426.6655746602255;3
8;0.9065678905852974;0.827017644152447;4;742;0;1421.4527522821274;2
10;0.9239757286255259;0.8650596704106273;6;698;0;1415.9218088671537;3
12;0.9101001825884534;0.8326690595143844;1;711;2;1415.5329788292825;2
14;0.9161503212196839;0.8500205964540578;1;418;1;1409.9359636896063;3
16;0.9132269192476538;0.8369719111125863;1;476;3;1403.0710790989115;3
18;0.9168653834293169;0.8476781465811456;1;643;1;1399.5455678931203;3
20;0.8948573015191298;0.80843074866368;1;670;3;1391.5231217908358;3
22;0.8708768667771303;0.7812378083101776;1;504;6;1389.4978686692389;4
24;0.8968447551555409;0.8093481571726371;1;715;2;1397.126697144256;4
26;0.896448268359415;0.8121537992447735;1;517;1;1388.5120890683793;3
28;0.9257198985436402;0.8608526404961716;1;452;4;1392.4004315872805;2
30;0.9127695100012246;0.8443081392326945;1;492;6;1382.8643730860654;4
32;0.8938993662849303;0.8111515482874015;1;584;8;1377.5214484820563;4
34;0.8994913178031229;0.8150987557549163;1;610;2;1375.0455662221143;3
36;0.9008564712787198;0.8309716910180016;1;332;5;1363.4328841075153;4
38;0.913831084408713;0.8493943969839228;1;339;7;1356.921657214516;3
40;0.8720082663337406;0.7916358023005969;1;387;9;1351.016733121369;3
42;0.8888480335006438;0.8095480184018532;1;332;7;1356.877998496122;3
44;0.912884931014473;0.8385812786970731;1;372;5;1348.2245685201678;3
46;0.8803287606186341;0.79739641336793;1;507;5;1350.3818059837163;3
48;0.8617218741721708;0.7841931535245986;1;382;11;1360.2380547049652;3
50;0.9020340997402652;0.8228435535529967;1;593;9;1353.7475086160052;3
52;0.8975693141830682;0.81433956435402;1;430;8;1340.8281044065507;4
54;0.8819047216639424;0.7966060037689079;1;503;15;1338.926571443904;3
56;0.9004382997581608;0.8161654115300105;1;493;16;1341.881208900847;3
58;0.866492241261186;0.7827631895891753;1;336;17;1327.1078257554936;4
60;0.893903794027828;0.8107793038452404;1;399;18;1330.426520816741;3
62;0.8740709478419862;0.7948287016437195;1;484;17;1335.3262336791563;4
64;0.8865537909929052;0.8105038636273671;1;564;18;1327.6799608632114;4
66;0.8805964856641745;0.802465357531448;1;295;12;1323.0113000077367;3
68;0.8963207743398486;0.8165752608305823;1;365;20;1323.9154284328351;3
70;0.9007425355023898;0.8166199033535395;1;357;19;1329.069716554633;4
72;0.8656655006917127;0.7814629742601004;1;331;18;1311.857034897455;3
74;0.8962614204781575;0.8148483038416907;1;607;18;1313.1056673665948;4
76;0.8883631759599685;0.8093461023102976;1;392;19;1312.4052767546236;4
78;0.8965023962837759;0.8152137086407304;1;367;20;1319.519690063013;4
80;0.8881004325727307;0.8041491873774288;1;286;21;1306.936560283859;5
82;0.8991042118836845;0.8219731551237034;1;493;30;1314.195091621794;3
84;0.8915653205003335;0.8119832043072563;1;492;25;1293.9083714508229;3
86;0.8716885187314697;0.7932976196299638;1;437;29;1308.206327631016;3
88;0.87626698470504;0.7968629795848616;1;622;25;1307.5540144035356;3
90;0.8755464334885541;0.7931957938746672;1;362;24;1289.1196352804882;4
92;0.8973592154967621;0.8121522303079387;1;445;32;1296.6655525614074;5
94;0.8821753307596136;0.7940235397905356;1;192;30;1282.329849970231;3
96;0.8918199368271471;0.8044374897084557;1;421;21;1287.5737910668047;3
98;0.8807761386191392;0.7909148222898185;1;402;37;1288.4456963867658;4
100;0.9033060622170958;0.826979773004099;1;383;32;1302.5212821313569;2
102;0.8748781862806401;0.7939535198921618;1;331;32;1284.3644978579414;3
104;0.8894472452182162;0.8065231188774437;1;432;42;1287.831421587245;3
106;0.8770432377343829;0.7975103951560695;1;218;36;1268.881133182679;4
108;0.8476315106745005;0.7607793952113158;1;493;39;1267.3031694575097;4
110;0.8739887350540052;0.7880481424692626;1;421;36;1274.1428037923185;3
112;0.8739740238374428;0.7874542643009292;1;343;45;1272.2486513044537;4
114;0.8686506587202915;0.7852993895111069;1;246;38;1260.4524470441158;4
116;0.8728462705079661;0.7914921596547172;1;286;45;1267.929371051478;4
118;0.890381705683632;0.808858898051095;1;334;39;1252.8119033850523;4
120;0.8736943314711942;0.7963932643388799;1;321;44;1257.3842061587195;3
122;0.8734301730188442;0.7842381303460897;1;345;50;1263.8344027590745;3
124;0.8844269481256621;0.8040884128239839;1;276;48;1260.3642594017879;3
126;0.8833815699397908;0.7977767172820271;1;323;50;1257.739789344521;3
128;0.8917527570344453;0.8113624083715215;1;259;58;1264.2893485382397;4
130;0.8753523644769586;0.7830882355062039;1;406;52;1235.141918019007;4
132;0.8690922461047303;0.782120791992461;1;331;47;1227.361834979989;4
134;0.8823545281845478;0.7992704023408426;1;291;52;1250.4523583235741;4
136;0.8894770493000982;0.8071861428404249;1;327;61;1246.9812622404106;4
138;0.8697866959583314;0.7820051152473194;1;346;47;1230.5245795941605;3
140;0.876024472842065;0.7933558147108616;1;258;56;1234.4929240536453;3
142;0.8781236922661709;0.7967559752553401;1;208;57;1230.3821431556096;3
144;0.9018215946785663;0.8202251515384655;1;245;50;1237.1592514596218;3
146;0.889911528813534;0.8023283114389363;1;351;58;1239.4854819145562;3
148;0.874344440065654;0.7842497418119221;1;209;53;1221.067585854319;3
150;0.8678317453967986;0.7792571623053016;1;299;67;1228.2759573576056;3
152;0.8849229894229894;0.7941133485710576;1;294;58;1214.818327041053;3
154;0.8762460155439249;0.7885202289399599;1;288;66;1231.2669416737626;4
156;0.8971561773376798;0.8150416164274259;1;320;69;1216.95205515891;3
158;0.8986703098880457;0.8173547039692348;1;242;67;1229.613711490614;5
160;0.8707968920841014;0.7861094347694358;1;245;73;1213.653737708476;4
162;0.8983684085320489;0.8203480153336468;1;292;75;1230.072741187323;3
164;0.875639223045343;0.7914399685204585;1;289;72;1199.1091149975152;4
166;0.8659748438748397;0.7798078412962622;1;285;68;1209.5331553352255;3
168;0.8764512739567218;0.7879489602417622;1;234;69;1204.1099390399834;4
170;0.8776201820611884;0.7953757926830248;1;290;76;1206.987679353992;3
172;0.879512956233259;0.7958439129591899;1;339;68;1195.604038716983;3
174;0.8814288722474125;0.7987913654169926;1;252;77;1213.8911941828949;3
176;0.8708823528830555;0.7888370100396916;1;233;70;1197.5012518668545;3
178;0.8675337077608958;0.7747182518095955;1;409;71;1191.208351567983;4
180;0.8938902371993546;0.8080002089084077;1;331;82;1209.8244424597783;3
182;0.8864289532675765;0.7979576138011022;1;191;90;1208.4225130898994;3
184;0.8682456665608669;0.7782859887164344;1;275;84;1191.7940345297357;4
186;0.8781093306097357;0.7953992663646393;1;288;85;1186.0076147087793;4
188;0.881719332294717;0.7972629557324581;1;290;88;1188.9497653132296;3
190;0.8822905923718768;0.7943002135612706;1;266;73;1178.0422996689801;4
192;0.8822574181012156;0.7929789447389524;1;289;78;1176.8733280008316;3
194;0.8862602932327265;0.7997960564673541;1;159;87;1177.3138715897492;3
196;0.8774636069670232;0.7929939553178779;1;267;89;1181.5554857465006;4
198;0.8717774330534598;0.7881496454028337;1;261;83;1171.662683781148;3
200;0.8702162525288807;0.7779010565206161;1;245;94;1167.7431242722657;3
